county,pop_without_access,percent_total_pop,pop_density,per_capita_income,urban_pop_without_access,percent_urban_pop,urban_pop_density,rural_pop_without_access,percent_rural_pop,rural_pop_density
Jones County,"5,623",28%,34.693,"$26,671 ",129,1%,"2,727.52","5,494",49%,19.395
Keokuk County,"2,426",28%,15.197,"$23,544 ",.,.,.,"2,426",28%,15.197
Kossuth County,"4,602",35%,13.377,"$29,229 ",20,0%,"1,955.99","4,582",59%,8.071
Lee County,"2,711",8%,68.293,"$22,960 ",348,2%,"2,031.92","2,363",17%,27.681
Linn County,"10,935",5%,322.237,"$30,949 ","5,050",2%,"2,336.51","5,885",21%,44.499
Louisa County,"3,062",31%,24.751,"$25,411 ",.,.,.,"3,062",31%,24.751
Lucas County,"1,701",21%,18.581,"$22,060 ",7,0%,"1,599.46","1,694",39%,10.082
Lyon County,"2,655",26%,17.63,"$25,578 ",.,.,.,"2,655",26%,17.63
Madison County,"4,814",31%,27.383,"$27,848 ",177,4%,"2,601.40","4,637",44%,18.685
Mahaska County,"4,787",22%,38.917,"$24,875 ",717,6%,"1,369.44","4,070",44%,16.449
Marion County,"1,957",6%,61.197,"$26,161 ",35,0%,"1,860.75","1,922",12%,29.831
Marshall County,"3,974",10%,72.985,"$24,549 ",903,3%,"2,540.01","3,071",24%,22.64
Mills County,"6,575",45%,33.406,"$27,942 ",621,10%,"1,474.27","5,954",72%,19.198
Mitchell County,"1,221",13%,20.811,"$24,629 ",.,.,"1,882.45","1,221",20%,13.193
Monona County,"2,495",32%,11.309,"$24,645 ",.,.,"1,699.77","2,495",47%,7.631
Monroe County,"1,161",16%,17.159,"$23,983 ",2,0%,"1,622.65","1,159",29%,9.118
Montgomery County,842,9%,21.205,"$23,342 ",89,2%,"1,930.91",753,19%,9.381
Muscatine County,"32,069",72%,102.096,"$25,007 ","24,511",72%,"1,943.10","7,558",70%,25.749
O'Brien County,"6,074",49%,21.679,"$30,213 ","4,275",87%,"2,404.57","1,799",24%,13.173
Osceola County,"4,165",83%,12.652,"$25,239 ","2,451",100%,"2,294.59","1,714",66%,6.521
Page County,"2,744",19%,26.431,"$23,630 ","1,110",11%,"1,585.55","1,634",42%,7.34
Palo Alto County,"3,670",47%,13.731,"$26,111 ",7,0%,"1,780.69","3,663",83%,7.835
Plymouth County,"8,500",35%,27.875,"$27,848 ",.,.,"2,432.72","8,500",60%,16.622
Pocahontas County,"1,734",32%,9.336,"$26,144 ",.,.,.,"1,734",32%,9.336
Polk County,"12,645",3%,844.879,"$30,863 ","6,879",1%,"2,522.57","5,766",25%,59.883
Pottawattamie County,"14,459",15%,102.548,"$26,821 ","1,572",2%,"2,179.26","12,887",54%,26.132
Poweshiek County,"4,265",24%,30.308,"$26,855 ",28,0%,"2,305.32","4,237",50%,14.604
Ringgold County,"1,352",33%,7.567,"$24,553 ",.,.,.,"1,352",33%,7.567
Sac County,"4,944",56%,15.485,"$27,224 ",.,.,.,"4,944",56%,15.485
Scott County,"5,968",3%,382.47,"$29,243 ","3,602",2%,"2,348.78","2,366",10%,58.633
Shelby County,"2,165",21%,17.36,"$27,178 ",57,1%,"2,188.44","2,108",37%,9.615
Sioux County,"8,407",25%,43.778,"$25,343 ",101,1%,"2,009.86","8,306",52%,20.969
Story County,"10,548",11%,170.52,"$26,113 ","5,058",6%,"2,755.98","5,490",37%,27.001
Tama County,"2,504",16%,22.287,"$26,247 ",204,4%,"2,131.12","2,300",20%,15.788
Taylor County,"2,520",53%,8.893,"$24,044 ",.,.,.,"2,520",53%,8.893
Union County,864,7%,27.702,"$23,647 ",2,0%,"1,901.14",862,20%,10.098
Van Buren County,"4,049",60%,13.948,"$23,045 ",.,.,.,"4,049",60%,13.948
Wapello County,"4,430",13%,79.16,"$21,909 ",642,3%,"1,769.51","3,788",39%,23.324
Warren County,"7,461",15%,90.11,"$29,449 ",173,1%,"2,325.82","7,288",35%,37.15
Washington County,"3,048",14%,37.596,"$27,051 ",.,.,"2,495.65","3,048",21%,25.947
Wayne County,387,8%,9.596,"$22,433 ",.,.,.,387,8%,9.596
Webster County,"2,499",7%,50.56,"$24,213 ","1,401",6%,"1,960.49","1,098",10%,15.824
Winnebago County,"4,853",49%,24.667,"$25,387 ",32,1%,"1,838.61","4,821",78%,15.474
Winneshiek County,"9,126",46%,28.843,"$25,709 ","1,410",16%,"1,677.06","7,716",69%,16.385
Woodbury County,"8,853",9%,118.53,"$23,221 ","1,657",2%,"2,287.00","7,196",43%,19.979
Worth County,"2,956",46%,16.025,"$24,886 ",.,.,.,"2,956",46%,16.025
Wright County,"2,809",24%,19.982,"$25,964 ",85,2%,"1,920.30","2,724",44%,10.686
Kansas,"436,249",15%,35.756,.,"123,315",5%,"2,344.46","312,934",49%,7.959
Allen County,"1,280",12%,21.451,"$20,105 ",127,3%,"1,599.39","1,153",20%,11.747
Anderson County,"4,869",72%,11.633,"$22,122 ","3,065",100%,"1,549.92","1,804",49%,6.367
Atchison County,"16,246",100%,37.686,"$22,446 ","11,330",100%,"1,885.74","4,916",100%,11.57
Barber County,605,16%,3.326,"$27,785 ",.,.,.,605,16%,3.326
Barton County,"2,522",9%,30.862,"$25,750 ",276,1%,"2,540.11","2,246",28%,8.971
Bourbon County,"4,923",36%,21.685,"$20,798 ","4,059",55%,"1,763.02",864,13%,10.143
Brown County,"8,457",100%,14.814,"$22,284 ","2,993",100%,"1,387.19","5,464",100%,9.608
Butler County,"18,491",27%,48.362,"$27,431 ",610,1%,"2,004.43","17,881",69%,18.472
Chase County,"1,958",96%,2.627,"$23,653 ",.,.,.,"1,958",96%,2.627
Chautauqua County,"2,654",100%,4.154,"$23,325 ",.,.,.,"2,654",100%,4.154
Cherokee County,"4,169",22%,32.81,"$19,849 ","3,794",37%,"1,285.12",375,4%,15.657
Cheyenne County,"1,795",99%,1.772,"$24,309 ",.,.,.,"1,795",99%,1.772
Clark County,4,0%,1.572,"$25,116 ",.,.,.,4,0%,1.572
Clay County,501,6%,12.413,"$26,143 ",24,1%,"1,918.74",477,12%,5.994
Cloud County,"6,729",76%,12.344,"$21,265 ","5,402",98%,"2,207.71","1,327",40%,4.656
Coffey County,"2,815",42%,10.644,"$29,044 ",101,5%,"1,212.44","2,714",57%,7.565
Comanche County,40,3%,1.686,"$22,107 ",.,.,.,40,3%,1.686
Cowley County,"7,583",22%,30.659,"$21,848 ",901,4%,"1,586.35","6,682",67%,8.982
Crawford County,208,1%,63.158,"$20,854 ",16,0%,"1,911.31",192,2%,21.079
Decatur County,"1,591",98%,1.821,"$28,094 ",.,.,.,"1,591",98%,1.821
Dickinson County,"8,909",49%,21.486,"$24,754 ","2,062",28%,"2,145.61","6,847",63%,12.957
Doniphan County,"6,973",100%,17.725,"$23,246 ","2,234",100%,689.465,"4,739",100%,12.146
Douglas County,"6,170",5%,260.425,"$26,790 ","2,979",3%,"3,034.75","3,191",26%,29.66
Edwards County,272,14%,3.177,"$24,899 ",.,.,.,272,14%,3.177
Elk County,"2,076",100%,3.222,"$21,693 ",.,.,.,"2,076",100%,3.222
Ellis County,"1,000",3%,31.821,"$25,310 ",.,.,"2,180.05","1,000",16%,7.177
Ellsworth County,"2,122",39%,7.521,"$23,458 ","1,194",41%,"2,222.53",928,37%,3.465
Finney County,160,0%,30.073,"$22,179 ",.,.,"2,592.84",160,3%,4.497
Ford County,93,0%,31.678,"$21,269 ",62,0%,"2,720.43",31,1%,5.055
Franklin County,"10,052",39%,44.685,"$23,980 ",390,3%,"2,342.44","9,662",75%,22.816
Geary County,"5,453",14%,100.403,"$21,318 ","3,807",11%,"1,870.45","1,646",40%,11.357
Gove County,908,46%,1.858,"$27,571 ",.,.,.,908,46%,1.858
Graham County,47,2%,2.227,"$28,290 ",.,.,.,47,2%,2.227
Grant County,24,0%,12.197,"$26,386 ",.,.,"2,423.20",24,2%,2.016
Gray County,22,0%,5.493,"$25,585 ",.,.,.,22,0%,5.493
Greeley County,721,100%,0.926,"$25,766 ",.,.,.,721,100%,0.926
Greenwood County,"1,800",36%,4.393,"$24,123 ",18,1%,"1,432.13","1,782",61%,2.548
Hamilton County,.,.,2.192,"$23,360 ",.,.,.,.,.,2.192
Harper County,"3,753",84%,5.574,"$24,913 ",.,.,.,"3,753",84%,5.574
Harvey County,"5,215",15%,65.098,"$23,846 ",583,2%,"2,111.23","4,632",47%,18.87
Haskell County,2,0%,4.798,"$25,213 ",.,.,.,2,0%,4.798
Hodgeman County,5,0%,1.451,"$30,474 ",.,.,.,5,0%,1.451
Jackson County,"8,074",64%,19.192,"$25,030 ",.,.,"2,180.85","8,074",86%,14.351
Jefferson County,"9,890",54%,34.13,"$26,259 ",42,20%,888.479,"9,848",55%,33.753
Jewell County,"1,323",72%,2.019,"$23,393 ",.,.,.,"1,323",72%,2.019
Johnson County,"12,463",2%,"1,301.43","$39,447 ","6,276",1%,"2,897.38","6,187",27%,86.624
Kearny County,302,10%,3.478,"$23,719 ",.,.,.,302,10%,3.478
Kingman County,"2,749",48%,6.66,"$24,892 ",35,1%,"1,302.75","2,714",81%,3.87
Kiowa County,"1,171",76%,2.13,"$22,301 ",.,.,.,"1,171",76%,2.13
Labette County,"2,829",15%,29.092,"$20,506 ",237,3%,"1,711.99","2,592",28%,14.695
Lane County,"1,093",100%,1.523,"$31,892 ",.,.,.,"1,093",100%,1.523
Leavenworth County,"12,587",15%,175.766,"$26,902 ",664,1%,"2,257.38","11,923",50%,54.416
Lincoln County,"1,804",81%,3.107,"$24,509 ",.,.,.,"1,804",81%,3.107
Linn County,"1,524",20%,13.081,"$25,525 ",.,.,.,"1,524",20%,13.081
Logan County,"1,956",100%,1.823,"$27,296 ",.,.,.,"1,956",100%,1.823
Lyon County,"6,345",20%,37.065,"$20,272 ",989,4%,"2,200.58","5,356",76%,8.381
McPherson County,"10,572",39%,30.265,"$27,979 ",286,2%,"1,925.17","10,286",94%,12.27
Marion County,"6,965",70%,10.536,"$23,152 ","1,092",41%,"2,314.04","5,873",80%,7.74
Marshall County,"5,309",73%,8.034,"$25,828 ","2,175",100%,"1,442.14","3,134",62%,5.627
Meade County,27,1%,3.356,"$22,727 ",.,.,.,27,1%,3.356
Miami County,"28,183",82%,59.565,"$28,822 ","12,293",71%,"1,975.03","15,890",94%,29.892
Mitchell County,"5,308",97%,7.82,"$27,271 ","3,116",100%,"1,730.21","2,192",92%,3.389
Montgomery County,"8,009",25%,49.975,"$20,912 ",195,1%,"1,524.77","7,814",55%,22.373
Morris County,"4,812",100%,6.921,"$24,558 ",.,.,.,"4,812",100%,6.921
Morton County,72,3%,3.052,"$23,486 ",.,.,.,72,3%,3.052
Nemaha County,"7,283",91%,11.19,"$25,319 ","2,188",100%,"1,469.97","5,095",87%,8.157
Neosho County,399,3%,27.109,"$22,474 ",.,.,"1,694.78",399,6%,11.435
Ness County,513,23%,2.041,"$29,713 ",.,.,.,513,23%,2.041
Norton County,"1,237",26%,5.393,"$23,323 ",.,.,"1,860.07","1,237",56%,2.524
Osage County,"7,459",50%,20.968,"$24,199 ",1,0%,"1,390.69","7,458",61%,17.354
Osborne County,482,17%,3.101,"$27,104 ",.,.,.,482,17%,3.101
Ottawa County,"1,030",19%,7.587,"$27,899 ",.,.,.,"1,030",19%,7.587
Pawnee County,"1,766",31%,7.476,"$22,191 ",748,18%,"1,503.17","1,018",66%,2.048
Phillips County,"1,187",27%,4.954,"$25,146 ",.,.,"1,380.46","1,187",56%,2.392
Pottawatomie County,"2,020",9%,26.653,"$25,469 ",558,6%,"1,749.24","1,462",12%,15.031
Pratt County,"1,464",16%,12.61,"$26,807 ",.,.,"2,448.09","1,464",58%,3.464
Rawlins County,"1,717",99%,1.622,"$27,719 ",.,.,.,"1,717",99%,1.622
Reno County,"14,429",22%,52.009,"$23,378 ","2,496",5%,"2,153.51","11,933",63%,15.252
Republic County,"3,045",86%,4.914,"$25,642 ",.,.,.,"3,045",86%,4.914
Rice County,"1,616",20%,11.235,"$23,633 ",114,3%,"1,898.16","1,502",31%,6.697
Riley County,"12,863",16%,132.997,"$23,872 ","10,981",15%,"3,243.93","1,882",20%,15.835
Rooks County,605,16%,4.284,"$23,829 ",.,.,.,605,16%,4.284
Rush County,"1,696",72%,3.274,"$24,642 ",.,.,.,"1,696",72%,3.274
Russell County,121,2%,6.966,"$26,641 ",.,.,"1,918.96",121,5%,2.502
Saline County,"6,599",11%,80.73,"$25,577 ",749,1%,"2,208.22","5,850",78%,10.763
Scott County,"4,337",100%,6.044,"$26,991 ","3,330",100%,"2,201.79","1,007",100%,1.406
Sedgwick County,"40,213",7%,548.351,"$25,897 ","15,948",3%,"2,448.57","24,265",60%,51.286
Seward County,44,0%,36.709,"$19,872 ",.,.,"2,292.80",44,2%,3.607
Shawnee County,"16,341",9%,346.618,"$26,682 ","5,341",3%,"2,005.49","11,000",37%,63.332
Sheridan County,739,41%,2,"$27,102 ",.,.,.,739,41%,2
Sherman County,"2,663",62%,4.045,"$20,944 ","2,131",59%,"1,342.81",532,83%,0.611
Smith County,391,15%,2.825,"$26,964 ",.,.,.,391,15%,2.825
Stafford County,"3,050",99%,3.889,"$24,169 ",.,.,.,"3,050",99%,3.889
Stanton County,12,1%,2.058,"$22,623 ",.,.,.,12,1%,2.058
Stevens County,14,0%,6.332,"$25,126 ",.,.,"1,954.44",14,1%,1.906
Sumner County,43,0%,16.618,"$23,670 ",.,.,"1,633.09",43,0%,10.251
Thomas County,"6,724",100%,6.277,"$28,364 ","4,900",100%,"1,637.14","1,824",99%,1.723
Trego County,512,24%,2.433,"$24,860 ",.,.,.,512,24%,2.433
Wabaunsee County,"4,841",79%,7.697,"$24,980 ",.,.,.,"4,841",79%,7.697
Wallace County,"1,042",100%,1.14,"$28,254 ",.,.,.,"1,042",100%,1.14
Washington County,"2,707",66%,4.57,"$22,910 ",.,.,.,"2,707",66%,4.57
Wichita County,"1,498",100%,2.085,"$25,191 ",.,.,.,"1,498",100%,2.085
Wilson County,"5,168",70%,12.994,"$20,235 ",49,2%,"1,554.74","5,119",99%,9.121
Woodson County,942,42%,4.498,"$22,912 ",.,.,.,942,42%,4.498
Wyandotte County,853,1%,"1,096.41","$18,753 ",354,0%,"1,963.13",499,5%,140.761
Kentucky,"699,360",16%,113.005,.,"73,542",3%,"1,877.09","625,818",34%,47.647
Adair County,"3,467",19%,46.072,"$17,772 ",23,1%,"1,350.67","3,444",24%,35.113
Allen County,"14,190",68%,60.911,"$19,651 ",383,9%,"1,080.17","13,807",83%,48.959
Anderson County,"4,362",19%,113.109,"$23,566 ",38,0%,"1,911.96","4,324",47%,47.482
Ballard County,"3,121",39%,32.056,"$23,417 ",.,.,.,"3,121",39%,32.056
Barren County,"18,124",41%,90.62,"$19,907 ",886,5%,"1,467.71","17,238",62%,58.802
Bath County,517,4%,41.762,"$17,137 ",.,.,.,517,4%,41.762
Bell County,"10,061",37%,76.663,"$14,657 ",706,7%,"1,346.73","9,355",54%,49.433
Boone County,718,1%,549.758,"$29,656 ",90,0%,"1,703.30",628,4%,96.706
Bourbon County,"4,677",24%,68.584,"$23,267 ",6,0%,"2,275.36","4,671",54%,30.63
Boyd County,411,1%,305.797,"$24,446 ",52,0%,"1,237.82",359,3%,95.15
Boyle County,"5,890",20%,161.099,"$22,394 ",199,1%,"1,313.38","5,691",57%,60.535
Bracken County,475,6%,40.095,"$21,742 ",.,.,.,475,6%,40.095
Breathitt County,"11,322",84%,27.321,"$15,574 ","2,584",100%,"1,194.65","8,738",80%,22.17
Breckinridge County,"19,919",100%,35.254,"$18,151 ",.,.,.,"19,919",100%,35.254
Bullitt County,"1,163",1%,271.15,"$24,364 ",16,0%,"1,264.46","1,147",5%,93.219
Butler County,"12,094",98%,28.818,"$18,747 ",.,.,.,"12,094",98%,28.818
Caldwell County,"4,339",34%,36.956,"$21,194 ",10,0%,"1,191.82","4,329",62%,20.437
Calloway County,"2,145",6%,97.615,"$21,093 ",245,1%,"1,708.06","1,900",11%,47.545
Campbell County,"1,375",2%,604.607,"$27,479 ",24,0%,"2,282.64","1,351",10%,119.182
Carlisle County,361,8%,24.747,"$21,959 ",.,.,.,361,8%,24.747
Carroll County,"3,161",29%,85.347,"$19,711 ",55,1%,"1,436.19","3,106",54%,46.219
Carter County,"1,850",7%,67.295,"$19,536 ",508,9%,"1,094.11","1,342",6%,53.694
Casey County,"1,558",10%,35.576,"$15,949 ",.,.,.,"1,558",10%,35.576
Christian County,"16,697",22%,105.46,"$19,704 ","6,495",12%,"1,643.84","10,202",50%,29.831
Clark County,"8,064",22%,147.162,"$24,787 ",49,0%,"1,911.37","8,015",80%,42.017
Clay County,"1,465",7%,44.968,"$14,574 ",202,4%,"1,023.75","1,263",8%,35.731
Clinton County,358,3%,52.457,"$17,171 ",.,.,.,358,3%,52.457
Crittenden County,"3,950",42%,25.898,"$20,548 ",15,1%,"1,645.87","3,935",60%,18.354
Cumberland County,"3,257",52%,20.457,"$17,245 ",.,.,.,"3,257",52%,20.457
Daviess County,"10,750",11%,217.608,"$23,140 ",.,.,"2,154.09","10,750",40%,63.353
Edmonson County,"3,122",25%,41.557,"$20,652 ",.,.,.,"3,122",25%,41.557
Elliott County,.,.,36.169,"$15,159 ",.,.,.,.,.,36.169
Estill County,981,7%,56.852,"$16,449 ",13,0%,"1,794.38",968,9%,44.075
Fayette County,"2,954",1%,"1,110.55","$29,168 ","2,881",1%,"3,602.01",73,1%,44.381
Fleming County,"1,235",9%,40.988,"$20,719 ",27,1%,"1,352.95","1,208",10%,33.393
Floyd County,"28,704",75%,97.685,"$17,958 ","2,316",38%,"1,150.42","26,388",82%,83.338
Franklin County,"1,179",2%,237.77,"$26,592 ",77,0%,"1,668.95","1,102",8%,72.236
Fulton County,"1,823",32%,27.946,"$18,892 ",43,2%,"1,052.91","1,780",48%,18.316
Gallatin County,"5,571",65%,84.784,"$20,507 ",.,.,.,"5,571",65%,84.784
Garrard County,692,4%,75.94,"$22,334 ",2,0%,"1,647.29",690,5%,60.296
Grant County,"5,473",21%,100.211,"$19,872 ",37,0%,"1,128.80","5,436",33%,66.19
Graves County,"2,694",7%,66.031,"$21,367 ",57,1%,"1,465.92","2,637",10%,46.523
Grayson County,"1,086",4%,52.797,"$19,404 ",105,1%,"1,323.34",981,5%,39.065
Green County,"1,135",10%,38.593,"$19,465 ",.,.,.,"1,135",10%,38.593
Greenup County,"1,462",4%,106.52,"$22,360 ",215,1%,"1,150.19","1,247",8%,45.313
Hancock County,"7,517",89%,45.169,"$22,637 ",903,100%,869.674,"6,614",87%,40.581
Hardin County,"1,893",2%,175.403,"$24,559 ",251,0%,"1,327.57","1,642",4%,65.963
Harlan County,"16,524",60%,58.844,"$15,543 ","7,230",58%,"1,425.03","9,294",62%,32.628
Harrison County,"10,766",56%,62.765,"$21,488 ",137,2%,"2,262.29","10,629",82%,42.472
Hart County,"14,253",78%,44.593,"$18,289 ",44,2%,"1,127.07","14,209",88%,39.321
Henderson County,"6,205",13%,106.951,"$22,968 ",386,1%,"2,085.21","5,819",33%,41.61
Henry County,"5,271",34%,53.504,"$21,288 ",.,.,.,"5,271",34%,53.504
Hickman County,"2,607",61%,17.604,"$20,051 ",.,.,.,"2,607",61%,17.604
Hopkins County,"11,354",25%,85.34,"$22,632 ",617,3%,"1,292.58","10,737",49%,41.708
Jackson County,57,0%,38.812,"$15,760 ",.,.,.,57,0%,38.812
Jefferson County,652,0%,"2,011.19","$28,464 ",209,0%,"2,660.76",443,4%,108.898
Jessamine County,73,0%,316.532,"$26,235 ",.,.,"2,809.98",73,1%,85.906
Johnson County,"4,953",21%,89.146,"$18,380 ",397,6%,"1,063.28","4,556",27%,66.792
Kenton County,"1,368",1%,"1,036.49","$27,788 ",30,0%,"2,219.71","1,338",12%,126.564
Knott County,"13,521",83%,46.129,"$18,304 ",.,.,.,"13,521",83%,46.129
Knox County,"7,104",22%,84.647,"$15,013 ","2,261",19%,"1,133.13","4,843",24%,54.61
Larue County,"2,182",15%,55.04,"$20,051 ",9,0%,"1,853.16","2,173",20%,41.794
Laurel County,519,1%,140.193,"$19,375 ",237,1%,706.456,282,1%,87.36
Lawrence County,353,2%,37.654,"$19,037 ",.,.,"1,375.89",353,3%,29.173
Lee County,"7,247",96%,35.977,"$15,059 ",.,.,.,"7,247",96%,35.977
Leslie County,"6,668",63%,26.449,"$16,708 ",.,.,.,"6,668",63%,26.449
Letcher County,"20,129",85%,70.456,"$18,163 ",.,.,.,"20,129",85%,70.456
Lewis County,"1,812",14%,27.753,"$15,764 ",.,.,.,"1,812",14%,27.753
Lincoln County,"7,888",32%,74.114,"$18,192 ",.,.,"1,261.88","7,888",39%,61.138
Livingston County,"3,401",38%,28.745,"$20,700 ",.,.,672.898,"3,401",40%,27.422
Logan County,.,.,47.23,"$19,063 ",.,.,925.017,.,.,36.161
Lyon County,"8,113",100%,38.061,"$23,621 ",.,.,.,"8,113",100%,38.061
McCracken County,"1,520",2%,260.71,"$26,571 ",962,2%,"1,055.02",558,3%,89.156
McCreary County,"3,889",21%,43.5,"$11,287 ",.,.,.,"3,889",21%,43.5
McLean County,"5,784",65%,35.14,"$20,789 ",.,.,.,"5,784",65%,35.14
Madison County,"4,403",5%,199.688,"$21,535 ",218,0%,"1,837.64","4,185",13%,81.355
Magoffin County,"1,895",14%,42.539,"$15,838 ",.,.,.,"1,895",14%,42.539
Marion County,"1,875",9%,58.532,"$18,741 ",.,.,"1,821.59","1,875",13%,42.272
Marshall County,910,3%,104.547,"$23,595 ",76,2%,954.671,834,3%,91.357
Martin County,"6,655",52%,55.957,"$15,406 ",.,.,.,"6,655",52%,55.957
Mason County,"8,834",50%,73.294,"$23,694 ","5,733",75%,"1,509.34","3,101",31%,42.305
Meade County,"4,775",17%,93.621,"$23,229 ","1,121",26%,"1,499.71","3,654",15%,80.183
Menifee County,.,.,29.59,"$16,464 ",.,.,.,.,.,29.59
Mercer County,"4,472",21%,86.492,"$22,614 ",.,.,"1,673.50","4,472",35%,52.317
Metcalfe County,"9,851",99%,34.459,"$17,265 ",.,.,.,"9,851",99%,34.459
Monroe County,"4,848",48%,30.792,"$17,571 ",.,.,.,"4,848",48%,30.792
Montgomery County,"2,691",9%,145.121,"$21,057 ",118,1%,"1,962.44","2,573",15%,89.497
Morgan County,.,.,35.329,"$16,379 ",.,.,.,.,.,35.329
Muhlenberg County,"9,825",32%,65.666,"$19,200 ",336,3%,"1,239.25","9,489",45%,45.808
Nelson County,"39,335",85%,111.374,"$23,531 ","19,736",96%,"1,209.83","19,599",76%,64.785
Nicholas County,"3,858",58%,34.124,"$21,276 ",.,.,.,"3,858",58%,34.124
Ohio County,"13,393",56%,40.564,"$18,991 ",119,2%,"1,523.94","13,274",76%,29.93
Oldham County,"3,217",5%,352.652,"$34,113 ","1,401",3%,"1,024.53","1,816",14%,95.765
Owen County,"10,214",94%,30.905,"$22,346 ",.,.,.,"10,214",94%,30.905
Owsley County,77,2%,22.988,"$14,591 ",.,.,.,77,2%,22.988
Pendleton County,"7,329",50%,53.129,"$23,755 ",.,.,.,"7,329",50%,53.129
Perry County,"4,349",15%,82.966,"$18,606 ",772,11%,"1,065.85","3,577",17%,62.632
Pike County,"50,187",78%,81.42,"$19,749 ","6,248",80%,"1,144.25","43,939",78%,72.102
Powell County,"12,644",100%,70.645,"$16,544 ","4,154",100%,"1,127.72","8,490",100%,48.432
Pulaski County,"1,963",3%,99.285,"$20,348 ",75,0%,875.358,"1,888",5%,56.332
Robertson County,784,36%,21.619,"$17,326 ",.,.,.,784,36%,21.619
Rockcastle County,"1,405",8%,54.172,"$17,146 ",25,1%,"1,334.37","1,380",10%,45.82
Rowan County,150,1%,85.202,"$18,168 ",.,.,"1,585.43",150,1%,58.501
Russell County,"17,677",100%,69.945,"$17,181 ",.,.,.,"17,677",100%,69.945
Scott County,"8,766",16%,194.296,"$27,906 ",586,2%,"2,270.67","8,180",49%,63.203
Shelby County,"6,237",13%,123.152,"$27,152 ",40,0%,"1,570.09","6,197",29%,59.141
Simpson County,"5,438",32%,73.474,"$18,840 ",95,1%,"1,763.99","5,343",70%,33.322
Spencer County,"5,219",27%,104.539,"$26,564 ",.,.,.,"5,219",27%,104.539
Taylor County,294,1%,93.464,"$18,430 ",34,0%,"1,531.01",260,2%,50.417
Todd County,"6,691",54%,33.266,"$18,592 ",.,.,.,"6,691",54%,33.266
Trigg County,"4,603",32%,32.872,"$24,982 ",47,2%,"1,381.78","4,556",40%,26.152
Trimble County,"1,864",21%,57.785,"$22,804 ",56,12%,653.005,"1,808",22%,54.935
Union County,"2,657",20%,39.671,"$19,611 ",.,.,"1,646.83","2,657",31%,25.444
Warren County,"4,439",4%,228.779,"$24,012 ",6,0%,"1,897.28","4,433",12%,76.109
Washington County,"8,690",73%,39.964,"$19,818 ",.,.,.,"8,690",73%,39.964
Wayne County,892,4%,45.911,"$15,935 ",149,2%,"1,191.30",743,5%,31.489
Webster County,"6,981",56%,37.811,"$20,983 ",.,.,.,"6,981",56%,37.811
Whitley County,"7,285",20%,81.92,"$16,406 ",365,3%,996.486,"6,920",29%,55.175
Wolfe County,.,.,32.759,"$13,455 ",.,.,.,.,.,32.759
Woodford County,113,0%,136.706,"$29,995 ",.,.,"1,567.47",113,1%,50.713
Louisiana,"881,763",19%,106.32,.,"282,361",8%,"1,720.06","599,402",50%,29.298
Acadia Parish,"17,584",29%,93.585,"$20,264 ",704,2%,"1,778.65","16,880",52%,50.633
Allen Parish,"21,964",87%,33.21,"$19,259 ","7,772",100%,"1,522.54","14,192",81%,23.164
Ascension Parish,"1,233",1%,429.732,"$28,834 ",726,1%,"1,317.00",507,3%,77.708
Assumption Parish,966,4%,67.983,"$23,085 ",77,1%,987.613,889,9%,32.012
Avoyelles Parish,"40,725",98%,50.024,"$17,899 ","14,435",97%,"1,436.43","26,290",98%,32.57
Beauregard Parish,"23,343",67%,30.255,"$23,451 ","1,595",14%,843.76,"21,748",92%,20.605
Bienville Parish,"12,289",99%,15.329,"$20,622 ","2,569",100%,934.485,"9,720",99%,12.204
Bossier Parish,"24,297",20%,147.083,"$27,199 ","8,832",9%,"1,509.59","15,465",53%,37.791
Caddo Parish,"20,970",8%,290.606,"$24,673 ","10,672",5%,"1,696.26","10,298",28%,48.283
Calcasieu Parish,"46,932",24%,182.84,"$24,521 ","24,697",16%,"1,138.65","22,235",55%,43.174
Caldwell Parish,"9,379",100%,17.715,"$22,752 ",.,.,.,"9,379",100%,17.715
Cameron Parish,"4,746",92%,4,"$29,450 ",.,.,.,"4,746",92%,4
Catahoula Parish,"9,782",100%,13.879,"$21,237 ",.,.,.,"9,782",100%,13.879
Claiborne Parish,"15,939",100%,21.139,"$17,672 ","2,778",100%,886.338,"13,161",100%,17.531
Concordia Parish,"16,039",79%,29.036,"$16,931 ","9,634",71%,"1,409.70","6,405",97%,9.604
